collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-17T16:30:49+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T16:49:51+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T16:49:51+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T17:07:04+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T17:07:04+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T17:30:18+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T17:30:18+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T17:44:22+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T17:44:22+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T17:55:08+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T17:55:08+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T18:28:49+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T18:28:49+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T18:51:18+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T18:51:18+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T19:09:10+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T19:09:10+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T19:25:44+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T19:25:44+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T19:38:21+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T19:38:21+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T19:49:34+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T19:49:34+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
